Machine types,vCPU,Memory (GB),Description,Workloads
n4-standard-2,2,8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-standard-4,4,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-standard-8,8,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-standard-16,16,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-standard-32,32,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-standard-48,48,192,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-standard-64,64,256,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-standard-80,80,320,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-2,2,4,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-4,4,8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-8,8,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-16,16,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-32,32,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-48,48,96,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-64,64,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highcpu-80,80,160,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-2,2,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-4,4,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-8,8,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-16,16,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-32,32,256,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-48,48,384,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-64,64,512,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n4-highmem-80,80,640,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-2,2,8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-4,4,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-8,8,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-16,16,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-32,32,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-48,48,192,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-64,64,256,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-80,80,320,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-96,96,384,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-standard-128,128,512,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-2,2,2,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-4,4,4,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-8,8,8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-16,16,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-32,32,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-48,48,48,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-64,64,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-80,80,80,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highcpu-96,96,96,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-2,2,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-4,4,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-8,8,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-16,16,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-32,32,256,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-48,48,384,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-64,64,512,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-80,80,640,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-96,96,768,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2-highmem-128,128,864,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-2,2,8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-4,4,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-8,8,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-16,16,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-32,32,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-48,48,192,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-64,64,256,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-80,80,320,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-96,96,384,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-128,128,512,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-standard-224,224,896,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-2,2,2,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-4,4,4,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-8,8,8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-16,16,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-32,32,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
