Machine Type,Summary,Workloads
N4,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
N2,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
N2D,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
N1,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
C4,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
C4A,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
C4D,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
C3,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
C3D,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
E2,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
Tau T2D,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
Tau T2A,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
